Pathway,Count
NFYA mouse,15
NFYB human,14
NFYC human,13
NKX2-1 human,6
NKX2-1 mouse,11
NKX2-5 human,9
NKX2-5 mouse,25
NKX3-1 human,10
NOTCH1 mouse,23
NPM1 human,11
NR0B1 human,10
NR0B1 mouse,11
NR0B2 human,8
NR0B2 mouse,19
NR1H3 mouse,17
NR1H4 human,20
NR1H4 mouse,11
NR1I2 human,26
NR1I2 mouse,12
NR1I3 mouse,12
NR2F1 human,9
NR2F2 human,7
NR2F2 mouse,19
NR3C1 human,38
NR3C1 mouse,19
NR3C2 human,7
NR3C2 mouse,7
NR4A1 human,15
NR4A1 mouse,10
NR4A2 mouse,12
NR5A1 human,22
NR5A1 mouse,23
NR5A2 human,12
NR5A2 mouse,18
NRF1 human,15
NRF1 mouse,22
NRL mouse,10
NUPR1 mouse,6
ONECUT1 mouse,8
OTX2 human,12
OTX2 mouse,6
PARP1 human,25
PARP1 mouse,11
PAX2 human,6
PAX2 mouse,14
PAX3 human,6
PAX3 mouse,20
PAX5 human,21
PAX5 mouse,14
PAX6 human,11
PAX6 mouse,43
PAX7 mouse,6
PAX8 human,8
PBX1 mouse,13
PBX2 human,6
PDX1 mouse,9
PER1 mouse,9
PGR human,25
PGR mouse,14
PIAS1 human,6
PITX1 human,16
PITX1 mouse,6
PITX2 human,11
PITX2 mouse,24
PITX3 mouse,6
PLAG1 mouse,6
PML human,19
POU1F1 human,11
POU1F1 mouse,7
POU2AF1 mouse,14
POU2F1 human,38
POU2F1 mouse,20
POU2F2 human,10
POU2F2 mouse,17
POU3F1 mouse,6
POU3F2 human,9
POU4F1 mouse,8
POU5F1 human,24
POU5F1 mouse,27
PPARA human,39
PPARA mouse,46
PPARD human,10
PPARD mouse,11
PPARG human,66
PPARG mouse,50
PPARGC1A human,9
PPARGC1A mouse,20
PRDM1 human,6
PRDM1 mouse,11
PROX1 human,11
PROX1 mouse,14
PTTG1 human,15
RARA human,26
RARA mouse,11
RB1 human,31
RB1 mouse,20
RBL1 mouse,6
RBL2 mouse,10
RBMX human,8
RBPJ mouse,18
REL human,22
REL mouse,28
RELA human,301
RELA mouse,121
RELB mouse,6
REST human,32
REST mouse,15
RFX1 human,15
RFX5 human,18
RFX5 mouse,8
RFXANK human,15
RFXANK mouse,8
RFXAP human,15
RFXAP mouse,8
RNF2 mouse,8
RORA mouse,11
RUNX1 human,40
RUNX1 mouse,17
RUNX2 human,19
RUNX2 mouse,57
RUNX3 human,30
RUNX3 mouse,8
RXRA human,20
RXRA mouse,15
SALL4 human,7
SATB1 human,15
SATB1 mouse,6
SF1 human,12
SF1 mouse,15
SFPQ human,6
SIN3A mouse,7
SIRT1 human,48
SIRT1 mouse,26
SIX1 mouse,14
SMAD1 mouse,24
SMAD2 mouse,19
SMAD3 human,31
SMAD3 mouse,49
SMAD4 human,26
SMAD4 mouse,40
SMAD5 mouse,10
SMAD7 human,9
SMAD7 mouse,8
SMARCA4 human,9
SMARCA4 mouse,19
SNAI1 human,10
SNAI1 mouse,29
SNAI2 human,14
SNAI2 mouse,10
SOX10 human,11
SOX10 mouse,12
SOX17 human,6
SOX17 mouse,11
SOX2 human,22
SOX2 mouse,28
SOX4 human,8
SOX4 mouse,6
SOX5 mouse,6
SOX6 human,6
SOX9 human,23
SOX9 mouse,29
SP1 human,472
SP1 mouse,270
SP2 human,9
SP2 mouse,9
SP3 human,113
SP3 mouse,83
SP4 human,11
SP4 mouse,8
SP7 mouse,17
SPDEF human,10
SPDEF mouse,6
SPI1 human,62
SPI1 mouse,40
SREBF1 human,27
SREBF1 mouse,36
SREBF2 human,20
SREBF2 mouse,12
SRF human,25
SRF mouse,19
SRY human,6
STAT1 human,84
STAT1 mouse,34
STAT2 human,11
STAT3 human,142
STAT3 mouse,79
STAT4 human,11
STAT4 mouse,7
STAT5A human,13
STAT5A mouse,25
STAT5B human,8
STAT6 human,36
STAT6 mouse,16
TAL1 human,10
TAL1 mouse,10
TBP human,15
TBP mouse,7
TBX1 mouse,8
TBX2 mouse,9
TBX21 human,12
TBX21 mouse,10
TBX3 mouse,10
TCF12 mouse,7
TCF21 mouse,6
TCF3 human,14
TCF3 mouse,44
TCF4 human,25
TCF4 mouse,19
TCF7L2 human,12
TFAP2A human,71
TFAP2A mouse,10
TFAP2C human,10
TFAP2C mouse,11
TFAP4 human,7
TFCP2 human,9
TFDP1 human,10
TP53 human,164
TP63 human,15
TP73 human,13
TRERF1 human,7
TRP53 mouse,167
TRP63 mouse,10
TRP73 mouse,19
TWIST1 human,35
TWIST1 mouse,29
TWIST2 human,25
TWIST2 mouse,6
USF1 human,65
USF1 mouse,20
USF2 human,47
USF2 mouse,14
VDR human,42
VDR mouse,8
VHL human,20
WT1 human,57
WT1 mouse,17
WWTR1 human,6
XBP1 human,19
XBP1 mouse,13
YBX1 human,30
YBX1 mouse,7
YY1 human,91
YY1 mouse,27
ZBTB16 human,10
ZBTB33 mouse,6
ZBTB7A human,6
ZBTB7A mouse,6
ZEB1 human,13
ZEB1 mouse,14
ZEB2 human,6
ZFP148 mouse,6
ZFP36 human,8
ZNF148 human,9
ZNF382 human,10
