Pathway,Count
interleukin-12 human PBMC peripheral blood mononuclear cells GDS3498 ligand:197,338
EPO human CD34+ derived erythoblast GDS4557 ligand:165,325
estrogen human human epithelial ovarian cancer (EOC) cells GDS4066 ligand:63,331
Interleukin-1B human myometrium GSE68171 ligand:241,362
estrogen human MCF-7 cells GSE11324 ligand:91,461
Anti-Mullerian hormone rat ovary GDS3199 ligand:249,357
17beta-estradiol human MCF-7 cells GSE8597 ligand:258,402
Progesterone mouse Uterus tissue after 14 days after ovariectomy (6hrs after injection) GDS186 ligand:55,286
17beta-estradiol mouse prostate gland GSE36630 ligand:127,242
17beta-estradiol mouse prostate gland GSE36630 ligand:126,326
estradiol human MCF-7 cells GDS4052 ligand:267,331
estradiol human MCF-7 cells GDS4052 ligand:266,343
estradiol human MCF-7 cells GDS4052 ligand:265,298
neuromedin U mouse type-2 Th cell line D10.G4.1 GDS882 ligand:19,379
nitric oxide human CD3+ T cells GDS4188 ligand:280,158
TGF-beta human A549 epithelial cells GDS3710 ligand:246,345
17beta-estradiol mouse ovarian cancer cells GSE45271 ligand:94,289
testosterone mouse bed nucleus of the stria terminalis/preoptic area GSE49986 ligand:282,300
Interleukin-17A human smooth muscle GDS4803 ligand:175,330
17beta-estradiol human U2OS osteosarcoma cell line GDS1094 ligand:45,332
Interleukin-17A human smooth muscle GDS4803 ligand:173,287
17beta-estradiol human U2OS osteosarcoma cell line GDS1094 ligand:46,317
EPO mouse Erythroid progenitor cell GDS927 ligand:166,368
estradiol human MCF-7 cells GSE46924 ligand:163,394
estradiol mouse BAL cells GSE52649 ligand:95,282
Interleukin-3 mouse M2 macrophages (RAW264.7 cells) GSE73564 ligand:235,321
Interleukin-1 human epidermal keratinocyte GDS3011 ligand:227,323
estrogen mouse lungs from ovariectomized animals GDS960 ligand:49,203
17beta-estradiol mouse uterus GSE6931 ligand:86,324
estradiol mouse hematopoietic stem cells (HSCs) GSE52711 ligand:96,333
estradiol human estrogen receptor (ER)-positive MCF7 breast cancer cells GDS3217 ligand:39,390
testosterone mouse submandibular glands from BALB/c females GDS1833 ligand:53,306
estrogen mouse alpha null aorta GDS3064 ligand:26,119
17beta-estradiol mouse uterus GSE1839 ligand:157,269
17beta-estradiol mouse thymus GDS1275 ligand:272,169
estradiol mouse uterus GSE24525 ligand:140,375
progesterone mouse uterine horn GDS187 ligand:48,322
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:66,320
estradiol mouse uterus GSE56423 ligand:92,374
calcitriol human RWPE1 prostate epithelial cell line GDS3761 ligand:192,381
interleukin-22 human Bronchial epithelial cells GDS3393 ligand:198,246
calcitriol human RWPE1 prostate epithelial cell line GDS3761 ligand:195,266
Interleukin 1&Icirc;&sup2; rat insulinoma cell line (Pdx1 overexpression) GDS4332 ligand:202,335
Interleukin 1&Icirc;&sup2; rat insulinoma cell line (Pdx1 overexpression) GDS4332 ligand:200,309
estradiol mouse uterus GSE24525 ligand:139,247
Interleukin 1&Icirc;&sup2; rat insulinoma cell line (Pdx1 overexpression) GDS4332 ligand:206,310
interleukin-10 human PBMC GDS4551 ligand:141,298
Interleukin 1&Icirc;&sup2; rat insulinoma cell line (Pdx1 overexpression) GDS4332 ligand:204,296
interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:203,242
All-trans-retinoic acid human NB4 APL cells (TG2-knockdown) GDS4180 ligand:193,220
estradiol mouse uterus GSE23072 ligand:78,158
estradiol mouse mammary gland GSE48884 ligand:116,339
estradiol mouse mammary gland GSE48884 ligand:115,442
Interleukin 1&Icirc;&sup2; rat insulinoma cell line GDS4332 ligand:186,325
