Pathway,Count
Nkx3-2 (mouse),1122
REPIN1 (human),1466
FOXC1 (human),13142
HMGA1 (mouse),1748
CRTC1 (human),1086
ETS2 (human),1341
KLF11 (human),1388
SRY (human),469
CBEPB (human),2598
TFAP2A (mouse),1663
REL (mouse),1752
Spz1 (mouse),12
ZFHX3 (human),1504
PPARG::RXRA (mouse),12
NR5A1 (mouse),1020
ESR2 (human),80
HIF1A (mouse),1124
FEV (human),172
E2F6 (human),1358
Arnt::Ahr (mouse),207
FOXL1 (human),5755
SP1 (human),1406
LEF1 (mouse),1730
UBTF (human),1493
HNF1B (human),90
ZBTB7A (human),1373
STAT1 (human),1667
ZBTB16 (human),1572
FOXJ1 (human),1484
TP53 (human),2866
NFKB1 (human),3497
MYOD1 (mouse),1672
TP53 (mouse),1266
FOXA1 (human),1457
Sox17 (mouse),500
MEF2A (human),2800
FOXO3A (mouse),597
SMAD4 (human),1542
MAFB (human),63
Evi1 (mouse),11
JUND (mouse),1764
RORB (mouse),1020
NFIA (human),1416
IRF7 (human),99
HOXD9 (human),1543
PBX1 (human),46
CEBPD (human),1495
