Pathway,Count
GTEX-Q2AG-0005-SM-33HBX blood female 40-49 years,978
GTEX-VJWN-0005-SM-3GIKF blood female 50-59 years,1042
GTEX-X8HC-0006-SM-46MV6 blood female 50-59 years,940
GTEX-XQ3S-0006-SM-4BOQ4 blood male 20-29 years,1506
GTEX-PVOW-0006-SM-3NMB8 blood male 40-49 years,798
GTEX-T6MN-0005-SM-32PLJ blood male 50-59 years,544
GTEX-XOTO-0006-SM-4B64T blood male 50-59 years,790
GTEX-XBEC-0006-SM-4AT5T blood male 50-59 years,696
GTEX-WHSE-0006-SM-3NMBW blood male 20-29 years,738
GTEX-T5JC-0005-SM-4DM7B blood male 20-29 years,830
GTEX-U8T8-0005-SM-3DB8F blood male 60-69 years,825
GTEX-TSE9-0005-SM-4DXUF blood female 60-69 years,991
GTEX-WWYW-0005-SM-3NB3K blood female 50-59 years,1103
GTEX-OXRN-0005-SM-2I5EU blood male 50-59 years,894
GTEX-U412-0006-SM-3DB8J blood male 60-69 years,1040
GTEX-WVLH-0006-SM-3MJF7 blood male 50-59 years,898
GTEX-RVPV-0006-SM-2TF6Q blood male 60-69 years,949
GTEX-XMD1-0006-SM-4AT4Q blood male 60-69 years,935
GTEX-OXRP-0006-SM-2I3FN blood female 60-69 years,734
GTEX-WOFL-0006-SM-3TW8K blood male 60-69 years,425
GTEX-X4EP-0005-SM-3P5ZE blood female 60-69 years,492
GTEX-NL4W-0006-SM-2I3GH blood male 50-59 years,397
GTEX-NPJ8-0007-SM-2D7VX blood male 40-49 years,384
GTEX-R45C-0006-SM-3GAD6 blood female 60-69 years,306
GTEX-XQ8I-0006-SM-4BOQ5 blood male 50-59 years,311
GTEX-PW2O-0006-SM-2I3DV blood male 20-29 years,599
GTEX-U3ZG-0006-SM-47JWX blood male 50-59 years,405
GTEX-Y8E5-0006-SM-47JWQ blood male 60-69 years,528
GTEX-QVJO-0006-SM-2S1RC blood female 60-69 years,550
GTEX-OXRK-0006-SM-2HML1 blood female 50-59 years,496
GTEX-NFK9-0006-SM-3GACS blood male 40-49 years,544
GTEX-NL3H-0006-SM-2I3FW blood male 60-69 years,873
GTEX-OXRO-0006-SM-2I5EM blood female 60-69 years,922
GTEX-R55F-0005-SM-2TF4W blood male 50-59 years,1222
GTEX-RVPU-0005-SM-2TF6L blood male 50-59 years,947
GTEX-QESD-0006-SM-2I5G6 blood male 20-29 years,1241
GTEX-SN8G-0006-SM-32PLD blood female 50-59 years,1152
GTEX-PWO3-0005-SM-2I5FS blood female 60-69 years,1493
GTEX-P78B-0005-SM-2I5GM blood female 40-49 years,1140
GTEX-UPK5-0006-SM-3GAD8 blood male 40-49 years,912
GTEX-QVUS-0006-SM-3GAE8 blood female 60-69 years,1186
GTEX-RWSA-0005-SM-2XCAO blood male 40-49 years,1609
GTEX-S7PM-0006-SM-3NM8C blood male 60-69 years,1414
GTEX-X62O-0005-SM-46MV1 blood male 50-59 years,1727
GTEX-UTHO-0006-SM-3NMCC blood male 60-69 years,1607
GTEX-X4XX-0005-SM-3NMCS blood male 60-69 years,1463
GTEX-O5YV-0006-SM-2I5GX blood female 60-69 years,1334
GTEX-X4XY-0006-SM-46MV2 blood male 60-69 years,1216
GTEX-REY6-0005-SM-2TF54 blood male 60-69 years,1502
GTEX-RTLS-0006-SM-2TF58 blood female 60-69 years,1238
GTEX-R55D-0006-SM-3GIJS blood male 50-59 years,1726
GTEX-PSDG-0005-SM-3GADC blood male 50-59 years,1714
GTEX-T8EM-0006-SM-3DB71 blood male 40-49 years,1158
GTEX-TMMY-0005-SM-33HBN blood female 40-49 years,1258
GTEX-XUW1-0005-SM-4BOQ7 blood female 50-59 years,1889
GTEX-P44H-0006-SM-2XCFB blood male 40-49 years,1848
GTEX-OHPN-0005-SM-2YUML blood female 60-69 years,1041
GTEX-NPJ7-0006-SM-3GACR blood female 60-69 years,1883
GTEX-RNOR-0005-SM-2TF4Z blood female 50-59 years,1636
GTEX-SIU8-0006-SM-2XCE5 blood male 50-59 years,1196
GTEX-OIZG-0005-SM-2HMJC blood male 50-59 years,1326
GTEX-XLM4-0005-SM-4AT4P blood male 60-69 years,2079
GTEX-QEG4-0006-SM-2I5FY blood male 30-39 years,1257
GTEX-UPJH-0006-SM-3GACW blood male 50-59 years,1498
GTEX-WK11-0006-SM-3NB3J blood male 50-59 years,1520
GTEX-X4EO-0006-SM-3P5ZF blood female 60-69 years,1857
GTEX-PLZ4-0006-SM-2S1NY blood female 50-59 years,1798
GTEX-X638-0005-SM-47JX6 blood female 70-79 years,1310
GTEX-XMD3-0006-SM-4AT5X blood female 50-59 years,1773
GTEX-WQUQ-0006-SM-3MJF4 blood male 60-69 years,2010
GTEX-X585-0005-SM-46MV3 blood male 50-59 years,2193
GTEX-S33H-0005-SM-2XCAL blood male 30-39 years,1693
GTEX-VUSG-0006-SM-3GIK9 blood male 50-59 years,1816
GTEX-R55E-0006-SM-2TC5G blood male 20-29 years,1500
GTEX-U4B1-0006-SM-3DB8E blood male 40-49 years,2037
GTEX-RU1J-0006-SM-2TF6M blood female 20-29 years,2137
GTEX-PX3G-0006-SM-33HBQ blood female 20-29 years,1791
GTEX-SNMC-0006-SM-2XCFE blood male 20-29 years,2656
GTEX-QDVJ-0005-SM-2TC5X blood male 50-59 years,1844
GTEX-UJHI-0006-SM-3DB8H blood female 50-59 years,2006
GTEX-WYVS-0006-SM-3NMA7 blood female 40-49 years,1758
GTEX-PLZ5-0006-SM-2S1NZ blood male 50-59 years,1988
GTEX-OIZI-0005-SM-2XCED blood male 40-49 years,2242
GTEX-T2YK-0005-SM-32QOV blood male 50-59 years,1720
GTEX-POYW-0006-SM-2XCF4 blood male 60-69 years,1423
GTEX-N7MT-0007-SM-3GACQ blood female 60-69 years,1806
GTEX-QDT8-0006-SM-32PL3 blood female 30-39 years,1629
GTEX-WYJK-0005-SM-3NMA1 blood male 50-59 years,1159
GTEX-XUYS-0005-SM-47JZ2 blood male 50-59 years,1804
GTEX-W5X1-0006-SM-3GIJZ blood female 40-49 years,1933
GTEX-S7SE-0005-SM-2XCEA blood male 50-59 years,2131
GTEX-WRHU-0006-SM-3MJF6 blood female 50-59 years,2034
GTEX-U8XE-0005-SM-3DB8I blood male 30-39 years,2209
GTEX-QXCU-0006-SM-2TC5K blood male 50-59 years,2497
GTEX-S4UY-0006-SM-3K2A7 blood female 40-49 years,2000
GTEX-XV7Q-0005-SM-4BRWI blood female 40-49 years,1494
GTEX-NFK9-1626-SM-3LK5J pancreas male 40-49 years,377
GTEX-X3Y1-0726-SM-3P5YU pancreas male 40-49 years,306
GTEX-XQ8I-1926-SM-4BOOK pancreas male 50-59 years,348
GTEX-OOBJ-1026-SM-3NB2L pancreas male 60-69 years,251
GTEX-Q734-0426-SM-48TZX pancreas female 40-49 years,283
GTEX-P4PP-1026-SM-3NM9O pancreas female 30-39 years,357
GTEX-PX3G-1026-SM-48TZW pancreas female 20-29 years,337
GTEX-QV31-0226-SM-447BO pancreas male 30-39 years,381
GTEX-RM2N-0326-SM-48FD8 pancreas male 50-59 years,388
GTEX-WH7G-0826-SM-4LVMR pancreas male 40-49 years,400
GTEX-RWS6-1126-SM-47JXC pancreas female 60-69 years,425
GTEX-PLZ6-0726-SM-3P619 pancreas male 30-39 years,439
GTEX-XUW1-1726-SM-4BOOZ pancreas female 50-59 years,433
GTEX-R55D-1426-SM-48FEN pancreas male 50-59 years,413
GTEX-TMMY-1326-SM-4DXU9 pancreas female 40-49 years,471
GTEX-QLQW-0326-SM-447A8 pancreas male 30-39 years,344
GTEX-QEL4-1326-SM-447AD pancreas male 50-59 years,434
GTEX-S3XE-0526-SM-4AD4G pancreas male 50-59 years,455
GTEX-XMK1-0326-SM-4B652 pancreas male 40-49 years,455
