Pathway,Count
KASUMI1 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx28,1210
KASUMI2 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx38,679
KATOIII STOMACH TenPx15,691
KMRC1 KIDNEY TenPx01,125
KMRC20 KIDNEY TenPx02,156
KMS11 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx32,922
KMS12BM HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx27,1095
KMS27 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx31,614
KNS42 CENTRAL NERVOUS SYSTEM TenPx39,989
KNS81 CENTRAL NERVOUS SYSTEM TenPx29,1252
KP2 PANCREAS TenPx36,773
KP4 PANCREAS TenPx24,716
KPL1 BREAST TenPx03,380
KU1919 URINARY TRACT TenPx36,1003
KURAMOCHI OVARY TenPx15,925
KYM1 SOFT TISSUE TenPx38,580
KYSE150 OESOPHAGUS TenPx26,525
KYSE180 OESOPHAGUS TenPx23,845
KYSE30 OESOPHAGUS TenPx34,505
KYSE410 OESOPHAGUS TenPx38,419
KYSE450 OESOPHAGUS TenPx09,209
KYSE510 OESOPHAGUS TenPx22,356
KYSE70 OESOPHAGUS TenPx18,865
L33 PANCREAS TenPx17,424
L428 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx41,724
LCLC103H LUNG TenPx19,377
LK2 LUNG TenPx11,459
LMSU STOMACH TenPx41,421
LN18 CENTRAL NERVOUS SYSTEM TenPx30,361
LN229 CENTRAL NERVOUS SYSTEM TenPx27,762
LNCAPCLONEFGC PROSTATE TenPx30,648
LOXIMVI SKIN TenPx19,579
LS180 LARGE INTESTINE TenPx27,720
LS411N LARGE INTESTINE TenPx09,332
LS513 LARGE INTESTINE TenPx09,408
LU65 LUNG TenPx22,569
LUDLU1 LUNG TenPx09,584
LXF289 LUNG TenPx31,149
MCF7 BREAST TenPx08,291
MDAMB157 BREAST TenPx07,352
MDAMB231 BREAST TenPx27,607
MDAMB436 BREAST TenPx12,981
MDAMB453 BREAST TenPx19,701
MDAMB468 BREAST TenPx01,203
MDST8 LARGE INTESTINE TenPx03,192
MELJUSO SKIN TenPx09,341
MEWO SKIN TenPx05,276
MFE280 ENDOMETRIUM TenPx32,952
MFE296 ENDOMETRIUM TenPx36,744
MFE319 ENDOMETRIUM TenPx41,486
MIAPACA2 PANCREAS TenPx10,683
MKN1 STOMACH TenPx14,542
MKN45 STOMACH TenPx17,332
MKN7 STOMACH TenPx17,358
MOLM13 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx27,1578
MOLM16 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx37,906
MONOMAC1 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx23,1661
