Pathway,Count
CDX2 22108803 ChIP-Seq LS180 Human,1619
POU5F1 26923725 Chip-Seq MESODERM Mouse,406
TEAD4 26923725 Chip-Seq HEMANGIOBLAST Mouse,406
HTT 18923047 ChIP-ChIP STHdh Human,304
POU5F1 18700969 ChIP-ChIP MESCs Mouse,330
STAT3 1855785 ChIP-Seq MESCs Mouse,435
ZFP281 18358816 ChIP-ChIP MESCs Mouse,419
EWS-FLI1 20517297 ChIP-Seq SK-N-MC Human,470
NFIB 24661679 ChIP-Seq LUNG Mouse,453
CEBPA 23403033 ChIP-Seq LIVER Mouse,454
NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse,570
FOXA1 27197147 Chip-Seq ENDOMETRIOID-ADENOCARCINOMA Human,462
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human,537
SMAD1 18555785 ChIP-Seq MESCs Mouse,436
POU5F1 16153702 ChIP-ChIP HESCs Human,433
CTNNB1 20615089 ChIP-ChIP FETAL BRAIN Human,376
VDR 22108803 ChIP-Seq LS180 Human,103
CEBPB 26923725 Chip-Seq HEMANGIOBLAST Mouse,486
STAT1 20625510 ChIP-Seq HELA Human,523
TDRD3 21172665 ChIP-Seq MCF-7 Human,493
BMI1 19503595 ChIP-Seq MEFsC Mouse,521
CRX 20693478 ChIP-Seq ADULT RETINA Mouse,544
PDX1 19855005 ChIP-ChIP MIN6 Mouse,476
P53 22127205 ChIP-Seq FIBROBLAST Human,545
CBP 20019798 ChIP-Seq JUKART Human,795
AHR 22903824 ChIP-Seq MCF-7 Human,577
FOXO3 23340844 ChIP-Seq DLD1 Human,576
SREBP1 19666523 ChIP-Seq LIVER Mouse,567
MYC 18940864 ChIP-ChIP HL60 Human,587
PIAS1 25552417 ChIP-Seq VCAP Human,589
POU5F1 18358816 ChIP-ChIP MESCs Mouse,526
LYL1 20887958 ChIP-Seq HPC-7 Mouse,587
WDR5 24793694 ChIP-Seq LNCAP Human,592
DCP1A 22483619 ChIP-Seq HELA Human,636
NACC1 18358816 ChIP-ChIP MESCs Mouse,554
IRF8 22096565 ChIP-ChIP GC-B Mouse,463
SOX2 18358816 ChIP-ChIP MESCs Mouse,591
VDR 21846776 ChIP-Seq THP-1 Human,641
MYC 22102868 ChIP-Seq BL Human,569
VDR 24787735 ChIP-Seq THP-1 Human,663
TFEB 21752829 ChIP-Seq HELA Human,668
ASXL1 24218140 ChIP-Seq BMDM Mouse,593
TP53 18474530 ChIP-ChIP U2OS Human,687
EED 16625203 ChIP-ChIP MESCs Mouse,628
GATA2 21666600 ChIP-Seq HMVEC Human,588
GATA3 20176728 ChIP-ChIP TSCs Mouse,609
PPARG 20176806 ChIP-Seq THIOMACROPHAGE Mouse,645
NANOG 21062744 ChIP-ChIP HESCs Human,654
PPARG 23326641 ChIP-Seq C3H10T1-2 Mouse,534
CBX2 27304074 Chip-Seq ESCs Mouse,609
CHD1 19587682 ChIP-ChIP MESCs Mouse,626
EWS 26573619 Chip-Seq HEK293 Human,656
BCL3 23251550 ChIP-Seq MUSCLE Mouse,725
RUNX1 26923725 Chip-Seq HPCs Mouse,629
FOXP2 23625967 ChIP-Seq PFSK-1 AND SK-N-MC Human,733
SOX2 19030024 ChIP-ChIP MESCs Mouse,625
THAP11 20581084 ChIP-Seq MESCs Mouse,577
SUZ12 27294783 Chip-Seq NPCs Mouse,658
EZH2 27304074 Chip-Seq ESCs Mouse,722
DNAJC2 21179169 ChIP-ChIP NT2 Human,758
TAF7L 23326641 ChIP-Seq C3H10T1-2 Mouse,554
ELK1 19687146 ChIP-ChIP HELA Human,691
NR3C1 23031785 ChIP-Seq PC12 Mouse,730
MYB 21317192 ChIP-Seq ERMYB Mouse,767
ER 23166858 ChIP-Seq MCF-7 Human,695
PHC1 16625203 ChIP-ChIP MESCs Mouse,700
EOMES 21245162 ChIP-Seq HESCs Human,820
ELK1 22589737 ChIP-Seq MCF10A Human,755
FOXM1 25889361 ChIP-Seq OE33 AND U2OS Human,784
EZH2 23942234 ChIP-Seq MYOBLASTS AND MYOTUBES Mouse,777
NR1I2 20693526 ChIP-Seq LIVER Mouse,631
EGR1 23403033 ChIP-Seq LIVER Mouse,516
STAT3 19079543 ChIP-ChIP MESCs Mouse,672
CREB1 15753290 ChIP-ChIP HEK293T Human,440
GATA1 19941826 ChIP-Seq K562 Human,654
NFE2 27457419 Chip-Seq LIVER Mouse,735
TP53 22127205 ChIP-Seq IMR90 Human,766
CTNNB1 20460455 ChIP-Seq HCT116 Human,824
ETV2 25802403 ChIP-Seq MESCs Mouse,804
GRHL2 25758223 ChIP-Seq PLACENTA Mouse,788
EST1 17652178 ChIP-ChIP JURKAT Human,597
GABP 17652178 ChIP-ChIP JURKAT Human,617
AUTS2 25519132 ChIP-Seq 293T-REX Human,809
RUNX 20019798 ChIP-Seq JUKART Human,505
RUNX1 17652178 ChIP-ChIP JURKAT Human,724
E2F4 17652178 ChIP-ChIP JURKAT Human,608
PAX6 23342162 ChIP-ChIP BETA-FORBRAIN-LENS Mouse,658
SALL4 18804426 ChIP-ChIP XEN Mouse,693
KDM5A 27292631 Chip-Seq BREAST Human,830
EP300 21415370 ChIP-Seq HL-1 Mouse,600
ELF1 20517297 ChIP-Seq JURKAT Human,821
SMAD3 22036565 ChIP-Seq ESCs Mouse,844
ARNT 22903824 ChIP-Seq MCF-7 Human,846
PRDM5 23873026 ChIP-Seq MEFs Mouse,873
EWS-ERG 20517297 ChIP-Seq CADO-ES1 Human,830
PADI4 21655091 ChIP-ChIP MCF-7 Human,857
MEF2A 21415370 ChIP-Seq HL-1 Mouse,691
YY1 22570637 ChIP-Seq MALME-3M Human,839
CTBP2 25329375 ChIP-Seq LNCAP Human,790
RNF2 27304074 Chip-Seq NSC Mouse,782
NFE2L2 20460467 ChIP-Seq MEFs Mouse,870
NRF2 20460467 ChIP-Seq MEFs Mouse,870
SUZ12 18555785 ChIP-Seq MESCs Mouse,866
BMI1 23680149 ChIP-Seq NPCS Mouse,860
TBP 23326641 ChIP-Seq C3H10T1-2 Mouse,607
SALL4 18804426 ChIP-ChIP MESCs Mouse,761
ERG 20517297 ChIP-Seq VCAP Human,853
PAX3-FKHR 20663909 ChIP-Seq RHABDOMYOSARCOMA Human,918
TBX3 20139965 ChIP-Seq MESCs Mouse,770
ERA 27197147 Chip-Seq ENDOMETRIOID-ADENOCARCINOMA Human,822
CEBPB 26923725 Chip-Seq MESODERM Mouse,814
ELF5 23300383 ChIP-Seq T47D Human,860
ZFP57 27257070 Chip-Seq ESCs Mouse,744
SREBP2 21459322 ChIP-Seq LIVER Mouse,801
GATA2 21571218 ChIP-Seq MEGAKARYOCYTES Human,911
JARID2 20064375 ChIP-Seq MESCs Mouse,951
SMARCA4 20176728 ChIP-ChIP TSCs Mouse,830
RUNX1 20887958 ChIP-Seq HPC-7 Mouse,870
TP53 20018659 ChIP-ChIP R1E Mouse,909
HNF4A 19761587 ChIP-ChIP CACO-2 Human,771
NR3C1 21868756 ChIP-Seq MCF10A Human,887
SOX11 23321250 ChIP-ChIP Z138-A519-JVM2 Human,773
KLF1 20508144 ChIP-Seq FETAL-LIVER-ERYTHROID Mouse,868
CTBP1 25329375 ChIP-Seq LNCAP Human,885
E2F1 21310950 ChIP-Seq MCF-7 Human,858
HSF1 23293686 ChIP-Seq STHDH STRIATAL Mouse,649
FOXP2 21765815 ChIP-ChIP NEURO2A Mouse,726
RELA 24523406 ChIP-Seq FIBROSARCOMA Human,1104
SIN3A 21632747 ChIP-Seq MESCs Mouse,923
PPAR 26484153 Chip-Seq NCI-H1993 Human,945
TCF7L2 21901280 ChIP-Seq H4IIE Rat,807
MEIS1 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse,899
STAT5 23275557 ChIP-Seq MAMMARY-EPITHELIUM Mouse,897
MYC 18555785 ChIP-Seq MESCs Mouse,852
TFAP2C 20629094 ChIP-Seq MCF-7 Human,1034
KLF4 25985364 ChIP-Seq ATHEROSCLEROSIS LESION Mouse,865
TBX3 20139965 ChIP-Seq ESCs Mouse,767
RNF2 16625203 ChIP-ChIP MESCs Mouse,854
NANOG 18358816 ChIP-ChIP MESCs Mouse,865
EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse,1055
SPI1 20517297 ChIP-Seq HL60 Human,990
JARID2 20075857 ChIP-Seq MESCs Mouse,1055
SUZ12 16625203 ChIP-ChIP MESCs Mouse,944
SOX2 16153702 ChIP-ChIP HESCs Human,797
VDR 24763502 ChIP-Seq THP-1 Human,1034
RNF2 18974828 ChIP-Seq MESCs Mouse,1066
EZH2 18974828 ChIP-Seq MESCs Mouse,1066
Nerf2 26677805 Chip-Seq MACROPHAGESS Mouse,993
TP53 22573176 ChIP-Seq HFKS Human,1039
TCF3 18692474 ChIP-Seq MESCs Mouse,976
BACH1 22875853 ChIP-PCR HELA AND SCP4 Human,1127
EZH2 27294783 Chip-Seq NPCs Mouse,1032
SOX9 24532713 ChIP-Seq HFSC Mouse,1203
SPI1 23127762 ChIP-Seq K562 Human,1157
TCF3 18467660 ChIP-ChIP MESCs Mouse,982
MYC 20876797 ChIP-ChIP MEDULLOBLASTOMA Human,1086
FOXP3 21729870 ChIP-Seq TREG Human,1210
PU.1 20176806 ChIP-Seq MACROPHAGES Mouse,1469
TAL1 26923725 Chip-Seq HEMANGIOBLAST Mouse,1070
SALL4 22934838 ChIP-ChIP CD34+ Human,1067
ESRRB 18555785 ChIP-Seq MESCs Mouse,1081
GF1 26923725 Chip-Seq HPCs Mouse,1089
MEIS1 20887958 ChIP-Seq HPC-7 Mouse,1092
SMAD3 21741376 ChIP-Seq HESCs Human,984
MYC 19079543 ChIP-ChIP MESCs Mouse,1013
YY1 23942234 ChIP-Seq MYOBLASTS AND MYOTUBES Mouse,1173
RNF2 27304074 Chip-Seq ESCs Mouse,1205
ZFP42 18358816 ChIP-ChIP MESCs Mouse,1013
EBNA2 21746931 ChIP-Seq IB4-LCL Human,1137
KLF4 19030024 ChIP-ChIP MESCs Mouse,1157
NKX2-5 21415370 ChIP-Seq HL-1 Mouse,980
TTF2 22483619 ChIP-Seq HELA Human,1272
ZNF217 24962896 ChIP-Seq MCF-7 Human,1289
XRN2 22483619 ChIP-Seq HELA Human,1296
CNOT3 19339689 ChIP-ChIP MESCs Mouse,1083
POU5F1 16518401 ChIP-PET MESCs Mouse,836
CTCF 18555785 ChIP-Seq MESCs Mouse,1123
ISL1 27105846 Chip-Seq CPCs Mouse,1293
JUN 21703547 ChIP-Seq K562 Human,1206
CEBPB 20176806 ChIP-Seq THIOMACROPHAGE Mouse,1189
ETS1 20019798 ChIP-Seq JURKAT Human,1332
SMAD2/3 21741376 ChIP-Seq ESCs Human,1612
SRF 21415370 ChIP-Seq HL-1 Mouse,1001
SPI1 20176806 ChIP-Seq THIOMACROPHAGE Mouse,1209
WT1 20215353 ChIP-ChIP NEPHRON PROGENITOR Mouse,1307
SPI1 22096565 ChIP-ChIP GC-B Mouse,1032
GF1B 26923725 Chip-Seq HPCs Mouse,1284
NANOG 16153702 ChIP-ChIP HESCs Human,1057
NR0B1 18358816 ChIP-ChIP MESCs Mouse,1210
KLF4 18358816 ChIP-ChIP MESCs Mouse,1238
DACH1 20351289 ChIP-Seq MDA-MB-231 Human,1338
POU3F2 20337985 ChIP-ChIP 501MEL Human,1319
GATA2 20887958 ChIP-Seq HPC-7 Mouse,1324
