Pathway,Count
"Spleen-naive Thymus-Derived Cd8-Positive, Alpha-Beta T Cell",100
Spleen-neutrophil,100
Spleen-nk Cell,100
Spleen-plasma Cell,100
Spleen-plasmacytoid Dendritic Cell,100
Spleen-regulatory T Cell,100
Thymus-capillary Endothelial Cell,100
Thymus-cd4-positive Helper T Cell,100
"Thymus-cd8-positive, Alpha-Beta T Cell",100
Thymus-dendritic Cell,100
Thymus-endothelial Cell Of Artery,100
Thymus-endothelial Cell Of Lymphatic Vessel,100
Thymus-erythrocyte,100
Thymus-fast Muscle Cell,100
Thymus-fibroblast,100
Thymus-immature Natural Killer Cell,100
Thymus-macrophage,100
Thymus-mast Cell,100
Thymus-mature Nk T Cell,100
Thymus-medullary Thymic Epithelial Cell,100
Thymus-memory B Cell,100
Thymus-mesothelial Cell,100
Thymus-monocyte,100
Thymus-naive B Cell,100
Thymus-nk Cell,100
Thymus-plasma Cell,100
Thymus-thymocyte,100
Thymus-vascular Associated Smooth Muscle Cell,100
Thymus-vein Endothelial Cell,100
Trachea-basal Cell,100
Trachea-ciliated Cell,100
Trachea-connective Tissue Cell,100
Trachea-endothelial Cell,100
Trachea-goblet Cell,100
Trachea-macrophage,100
Trachea-plasma Cell,100
Trachea-secretory Cell,100
Vasculature-b Cell,100
Vasculature-endothelial Cell,100
Vasculature-epithelial Cell,100
Vasculature-erythrocyte,100
Vasculature-fibroblast,100
Vasculature-macrophage,100
Vasculature-mast Cell,100
Vasculature-nk Cell,99
Vasculature-pericyte Cell,100
Vasculature-plasma Cell,100
Vasculature-smooth Muscle Cell,100
Vasculature-t Cell,100
"Eye-cd4-positive, Alpha-Beta T Cell",101
Eye-conjunctival Epithelial Cell,100
Eye-corneal Keratocyte,100
Eye-limbal Stem Cell,100
Eye-limbal Stromal Cell,100
Eye-monocyte,100
Eye-retinal Blood Vessel Endothelial Cell,100
Mammary-b Cell,100
Mammary-basal Cell,100
Mammary-endothelial Cell Of Artery,100
Mammary-endothelial Cell Of Lymphatic Vessel,100
Mammary-fibroblast Of Breast,100
Mammary-luminal Epithelial Cell Of Mammary Gland,100
Mammary-macrophage,100
Mammary-mast Cell,99
Mammary-nk Cell,101
