Pathway,Count
interleukin-12 human PBMC peripheral blood mononuclear cells GDS3498 ligand:197,262
EPO human CD34+ derived erythoblast GDS4557 ligand:165,275
estrogen human human epithelial ovarian cancer (EOC) cells GDS4066 ligand:63,269
Interleukin-1B human myometrium GSE68171 ligand:241,238
estrogen human MCF-7 cells GSE11324 ligand:91,139
Anti-Mullerian hormone rat ovary GDS3199 ligand:249,243
17beta-estradiol human MCF-7 cells GSE8597 ligand:258,198
Progesterone mouse Uterus tissue after 14 days after ovariectomy (6hrs after injection) GDS186 ligand:55,314
17beta-estradiol mouse prostate gland GSE36630 ligand:127,358
17beta-estradiol mouse prostate gland GSE36630 ligand:126,274
estradiol human MCF-7 cells GDS4052 ligand:267,269
estradiol human MCF-7 cells GDS4052 ligand:266,257
estradiol human MCF-7 cells GDS4052 ligand:265,302
neuromedin U mouse type-2 Th cell line D10.G4.1 GDS882 ligand:19,221
nitric oxide human CD3+ T cells GDS4188 ligand:280,442
TGF-beta human A549 epithelial cells GDS3710 ligand:246,255
17beta-estradiol mouse ovarian cancer cells GSE45271 ligand:94,311
testosterone mouse bed nucleus of the stria terminalis/preoptic area GSE49986 ligand:282,300
Interleukin-17A human smooth muscle GDS4803 ligand:175,270
17beta-estradiol human U2OS osteosarcoma cell line GDS1094 ligand:45,268
Interleukin-17A human smooth muscle GDS4803 ligand:173,313
17beta-estradiol human U2OS osteosarcoma cell line GDS1094 ligand:46,283
EPO mouse Erythroid progenitor cell GDS927 ligand:166,232
estradiol human MCF-7 cells GSE46924 ligand:163,206
estradiol mouse BAL cells GSE52649 ligand:95,318
Interleukin-3 mouse M2 macrophages (RAW264.7 cells) GSE73564 ligand:235,279
Interleukin-1 human epidermal keratinocyte GDS3011 ligand:227,277
estrogen mouse lungs from ovariectomized animals GDS960 ligand:49,397
17beta-estradiol mouse uterus GSE6931 ligand:86,276
estradiol mouse hematopoietic stem cells (HSCs) GSE52711 ligand:96,267
estradiol human estrogen receptor (ER)-positive MCF7 breast cancer cells GDS3217 ligand:39,210
testosterone mouse submandibular glands from BALB/c females GDS1833 ligand:53,294
estrogen mouse alpha null aorta GDS3064 ligand:26,481
17beta-estradiol mouse uterus GSE1839 ligand:157,331
17beta-estradiol mouse thymus GDS1275 ligand:272,431
estradiol mouse uterus GSE24525 ligand:140,225
progesterone mouse uterine horn GDS187 ligand:48,278
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:66,280
estradiol mouse uterus GSE56423 ligand:92,226
calcitriol human RWPE1 prostate epithelial cell line GDS3761 ligand:192,219
interleukin-22 human Bronchial epithelial cells GDS3393 ligand:198,354
calcitriol human RWPE1 prostate epithelial cell line GDS3761 ligand:195,334
Interleukin 1&Icirc;&sup2; rat insulinoma cell line (Pdx1 overexpression) GDS4332 ligand:202,265
Interleukin 1&Icirc;&sup2; rat insulinoma cell line (Pdx1 overexpression) GDS4332 ligand:200,291
estradiol mouse uterus GSE24525 ligand:139,353
Interleukin 1&Icirc;&sup2; rat insulinoma cell line (Pdx1 overexpression) GDS4332 ligand:206,290
interleukin-10 human PBMC GDS4551 ligand:141,302
Interleukin 1&Icirc;&sup2; rat insulinoma cell line (Pdx1 overexpression) GDS4332 ligand:204,304
interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:203,358
All-trans-retinoic acid human NB4 APL cells (TG2-knockdown) GDS4180 ligand:193,380
estradiol mouse uterus GSE23072 ligand:78,442
estradiol mouse mammary gland GSE48884 ligand:116,261
estradiol mouse mammary gland GSE48884 ligand:115,158
Interleukin 1&Icirc;&sup2; rat insulinoma cell line GDS4332 ligand:186,275
estradiol human endometrial cancer cells GSE56946 ligand:226,387
estradiol human endometrial cancer cells GSE56946 ligand:225,288
interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:209,283
estradiol human endometrial cancer cells GSE56946 ligand:223,290
estradiol human endometrial cancer cells GSE56946 ligand:222,269
estradiol human endometrial cancer cells GSE56946 ligand:221,286
interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:207,283
interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:216,182
interleukin-13 human esophageal epithelial cells GDS3223 ligand:205,309
fibroblast growth factor 2 (FGF2) human embryonic fibroblast GDS2422 ligand:9,265
