Pathway,Count
H3K79me2 CD14-positive monocyte hg19,2000
H3K4me3 BE2C hg19,1594
H3K36me3 G1E-ER4 mm9,2903
H3K9me3 ES-Bruce4 mm9,570
H3K4me2 endothelial cell of umbilical vein hg19,2000
H3K79me3 C2C12 mm9,2000
H3K79me2 GM12878 hg19,2000
H3K36me3 Caco-2 hg19,382
H3K9me3 erythroblast mm9,2445
H3K27me3 HeLa-S3 hg19,2000
H3K27me3 heart mm9,2000
H3K27ac B cell hg19,2000
H3K27ac CH12.LX mm9,2000
H3K4me2 HepG2 hg19,2000
H3K4me3 fibroblast of mammary gland hg19,2005
H3K36me3 liver mm9,2000
H3K79me2 A549 hg19,2787
H3K4me3 spleen mm9,2000
H3K4me3 kidney mm9,2000
H3K27me3 CH12.LX mm9,2618
H3K27me3 GM06990 hg19,179
H3K4me3 T-cell acute lymphoblastic leukemia hg19,2000
H3K27ac heart mm9,2941
H3K4me2 astrocyte hg19,2000
H4K20me1 A549 hg19,2000
H3K36me3 keratinocyte hg19,2651
H3K27ac small intestine mm9,2000
H3K36me3 ES-E14 mm9,2000
H3K9ac MEL cell line mm9,2000
H3K27me3 Caco-2 hg19,380
H3K36me3 astrocyte hg19,2000
H3K27me3 keratinocyte hg19,2221
H3K36me3 kidney epithelial cell hg19,215
H3K9me3 GM12878 hg19,2000
H3K4me3 GM12878 hg19,3640
H3K4me1 megakaryocyte mm9,2505
H3K4me1 placenta mm9,2000
H3K27me3 splenic B cell mm9,391
H3K4me2 myocyte mm9,2000
H3K4me1 NT2-D1 hg19,2000
H3K4me3 ES-E14 mm9,3190
H3K27me3 SK-N-SH hg19,2149
H3K4me3 lung mm9,2000
H3K9me3 HeLa-S3 hg19,2000
H3K4me2 H1-hESC hg19,2000
H3K27ac mammary epithelial cell hg19,2000
H2AFZ H1-hESC hg19,2000
H3K36me3 H7 hg19,1851
H2AFZ B cell hg19,2000
H4K20me1 GM12878 hg19,2000
H3K4me3 GM12875 hg19,2000
H3K9me3 T-cell acute lymphoblastic leukemia hg19,2000
H3K4me1 keratinocyte hg19,2000
H3K9me3 MCF-7 hg19,190
H3K4me2 mammary epithelial cell hg19,2000
H4K20me1 fibroblast of dermis hg19,2000
H2AFZ astrocyte hg19,2000
H3K4me3 cerebellum mm9,2000
H3K4me3 small intestine mm9,2000
H3K4me1 T-cell acute lymphoblastic leukemia hg19,2000
H3K4me3 fibroblast of villous mesenchyme hg19,1982
H3K4me3 myocyte mm9,2000
H3K27me3 skeletal muscle myoblast hg19,2000
H3ac C2C12 mm9,2000
H3K9me3 mononuclear cell hg19,198
H3K27me3 endothelial cell of umbilical vein hg19,3393
H3K4me3 cortical plate mm9,2000
H3K36me3 fibroblast of dermis hg19,2000
H3K4me3 HepG2 hg19,3586
H4K20me1 mammary epithelial cell hg19,2000
H4K20me1 T-cell acute lymphoblastic leukemia hg19,2000
H3K36me3 T-cell acute lymphoblastic leukemia hg19,2000
H4K20me1 keratinocyte hg19,2000
H3K27ac fibroblast of lung hg19,3617
H2AFZ keratinocyte hg19,2000
H3K27ac placenta mm9,2000
H3K4me2 osteoblast hg19,2000
H3K36me3 NT2-D1 hg19,2000
H3K27ac bone marrow mm9,2000
H3K4me1 K562 hg19,3684
H3K36me3 testis mm9,2000
H3K4me2 A549 hg19,2720
H4K20me1 skeletal muscle myoblast hg19,2000
H3K36me3 skeletal muscle myoblast hg19,2000
H3K36me3 MEL cell line mm9,3352
H3K9me3 megakaryocyte mm9,2939
H3K9ac GM12878 hg19,2000
H3K79me2 endothelial cell of umbilical vein hg19,2000
H4K20me1 CD14-positive monocyte hg19,2000
H3K4me2 skeletal muscle myoblast hg19,2000
H3K27me3 bronchial epithelial cell hg19,2082
H3K36me3 SK-N-SH hg19,707
H3K79me2 heart mm9,2000
H3K4me3 cardiac muscle cell hg19,2087
H3K79me2 osteoblast hg19,2000
H3K36me3 H1-hESC hg19,2000
H3K79me2 astrocyte hg19,2000
H3K4me3 NT2-D1 hg19,2000
H3K4me3 mononuclear cell hg19,2000
H3K36me3 erythroblast mm9,3059
H3K27me3 megakaryocyte mm9,2638
H3K9ac keratinocyte hg19,2000
H3K9ac ES-Bruce4 mm9,2000
H3K4me1 embryonic fibroblast mm9,2000
H3K79me2 fibroblast of dermis hg19,2000
H3K9me1 K562 hg19,2000
H3K4me2 B cell hg19,2000
H3K4me1 thymus mm9,2000
H3K4me1 G1E-ER4 mm9,2415
H3K4me3 WERI-Rb-1 hg19,1606
H3K4me1 osteoblast hg19,2000
H3K79me2 myotube hg19,2000
H3K4me3 fibroblast of pulmonary artery hg19,2093
H3K4me1 testis mm9,2000
H3K4me2 CD14-positive monocyte hg19,2000
H3K4me1 limb mm9,2000
H3K9ac T-cell acute lymphoblastic leukemia hg19,2000
H3K36me3 small intestine mm9,2000
H3K4me3 WI38 hg19,2521
H3K4me3 Jurkat hg19,2071
H3K4me1 Panc1 hg19,2000
H3K4me3 brown adipose tissue mm9,2000
H3K36me3 heart mm9,2000
H4K20me1 endothelial cell of umbilical vein hg19,2000
H3K4me3 skeletal muscle myoblast hg19,2000
H4K20me1 osteoblast hg19,2000
H4K20me1 astrocyte hg19,2000
H3K27me3 myocyte mm9,1183
H3K4me3 GM12864 hg19,1279
H3K27ac fibroblast of dermis hg19,2000
H3K4me3 fibroblast of skin of abdomen hg19,2074
H3K27me3 kidney epithelial cell hg19,2217
H3K4me1 mononuclear cell hg19,2000
