Pathway,Count
Eosinophil:Peripheral Blood,17
Unrestricted Somatic Stem cell:Undefined,6
Switched Memory B cell:Peripheral Blood,97
Double-negative Memory B cell:Peripheral Blood,97
Plasma cell:Peripheral Blood,5
Granulosa cell:Ovarian Follicle,5
Theca Interna cell:Ovarian Follicle,104
Beta cell:Undefined,91
Alveolar Epithelial Progenitor cell:Lung,95
Limbal Stem cell:Limbal Epithelium,100
Mesenchymal Stem cell:Oral Mucosa,101
Cancer Stem cell:Colorectum,19
Cancer Stem cell:Oral Cavity,104
Primordial Germ cell:Undefined,20
Liver Progenitor cell:Liver,5
Mesenchymal Stromal cell:Nasal Concha,6
Hematopoietic Stem cell:Breast,100
Mesenchymal Stem cell:Breast,99
Myoepithelial cell:Breast,9
Immune cell:Breast,6
Endometrial Stem cell:Endometrium,23
Oviduct-derived Stem cell:Oviduct,19
Endothelial cell:Cornea,13
Cancer cell:Undefined,9
Limbal Mesenchymal cell:Sclerocorneal Tissue,103
Macrophage:Intervertebral Disc,103
Mesenchymal Stem cell:Placenta,11
Platelet:Plasma,95
Monocyte:Plasma,99
Endothelial cell:Plasma,102
Red Blood Cell (erythrocyte):Plasma,91
Mesenchymal Stem cell:Peripheral Blood,100
Pluripotent Stem cell:Embryoid Body,97
Adipose Multilineage-Differentiating Stress-Enduring cell:Adipose Tissue,99
T cell:Kidney,98
Monocyte:Kidney,99
B cell:Kidney,668
Regulatory B cell:Peripheral Blood,100
Macrophage:Peripheral Blood,6
Neural Stem cell:Inferior Colliculus,102
Cardiac Progenitor cell:Undefined,101
T cell:Blood,5
CD4+ T cell:Peripheral Blood,6
Pluripotent Very Small Embryonic-Like cell:Ovary,92
Ovarian Germ Stem cell:Ovary,85
Primordial Germ cell:Ovary,89
Germ cell:Ovary,13
Pluripotent Stem cell:Ovarian Cortex,89
Germline Stem cell:Ovarian Cortex,93
Cancer Stem cell:Ovarian Cortex,100
Circulating Stem Like cell:Peripheral Blood,82
Adipose-derived Stem cell:Subcutaneous Adipose Tissue,12
Endothelial cell:Adipose Tissue,9
Circulating Progenitor cell:Blood,100
Lymphocyte:Blood,100
Prostate Stem cell:Prostate,97
M2 macrophage:Peripheral Blood,12
Epithelial cell:Blood,101
Cancer Stem cell:Kidney,100
Spermatogonial Stem cell:Testis,9
Circulating Precursor cell:Peripheral Blood,98
Endothelial Precursor cell:Peripheral Blood,98
T cell:Lymph Node,9
Cardiomyocyte Progenitor cell:Myocardium,100
Smooth Muscle cell:Undefined,99
Urothelium cell:Undefined,96
Amniotic Fluid Stem cell:Amniotic Fluid,100
Dental Pulp Stem cell:Deciduous Tooth,101
Testis Somatic cell:Testis,100
Photoreceptor cell:Retina,7
Neural Crest cell:Undefined,22
Pericyte:Undefined,16
Placenta cell:Placenta,94
Myeloid Dendritic cell:Thymus,101
Cancer Stem-Like cell:Endometrium,100
T Helper cell:Salivary Gland,99
T cell:Salivary Gland,99
B1 cell:Salivary Gland,99
B cell:Salivary Gland,100
Plasma cell:Salivary Gland,99
Follicular Helper (Tfh) T cell:Salivary Gland,99
